Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"361,960",2,"358,726",0,0,0,0,,,,,,,1,"334,400",,,,,,,,,1,"313,560",,,1,"48,400",1,"24,326",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"80,977",10,"308,347",0,0,0,0,,,1,"13,247",,,,,2,"28,977",8,"243,100",,,,,,,,,1,"52,000",1,"52,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,37,"3,142,535",71,"7,788,380",0,0,0,0,2,"22,169",16,"5,991,141",10,"1,594,700",11,"323,668",2,"12,507",4,"190,317",,,,,,,,,23,"1,513,158",40,"1,283,253",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,7,"353,230",19,"655,610",0,0,0,0,1,323,3,"131,221",,,8,"371,555",,,3,"65,600",1,"158,551",1,"12,000",,,,,5,"194,356",4,"75,233",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,9,"751,822",31,"1,273,613",0,0,0,0,2,"7,909",12,"479,211",,,5,"67,430",1,"3,200",1,"4,463",,,1,"46,000",,,,,6,"740,713",12,"676,510",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,10,"246,732",19,"1,413,352",0,0,0,0,1,627,6,"461,573",,,5,"800,371",6,"140,524",1,"67,595",,,1,"25,080",,,,,3,"105,581",6,"58,733",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"296,804",2,"36,705",0,0,0,0,3,"296,804",,,,,1,"1,104",,,,,,,,,,,,,,,1,"35,601",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,7,"408,852",9,"123,713",0,0,0,0,,,,,,,3,"71,738",,,2,"36,730",,,,,,,,,7,"408,852",4,"15,245",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"396,052",5,"162,638",0,0,0,0,,,,,,,2,"119,495",3,"339,012",,,,,,,2,"18,540",1,"3,600",1,"38,500",2,"39,543",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,9,"5,694,600",9,"157,346",0,0,0,0,6,"4,806,989",1,"5,789",,,2,"8,907",2,"841,111",,,,,,,,,4,"102,407",1,"46,500",2,"40,242",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"100,000",4,"517,523",0,0,0,0,,,,,,,2,"84,998",,,,,,,,,,,,,1,"100,000",2,"432,525",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,24,"837,209",17,"490,222",0,0,0,0,16,"143,259",2,"33,540",1,"452,000",12,"443,326",1,"19,000",,,,,,,,,1,"2,600",6,"222,951",2,"10,755",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"1,283",1,"16,032",0,0,0,0,,,,,,,,,,,1,"16,032",1,"1,283",,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"132,023",3,"88,896",0,0,0,0,1,"132,023",,,,,1,"15,679",,,,,,,,,,,1,"42,123",,,1,"31,094",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"527,946",12,"528,465",0,0,0,0,1,"497,965",3,"187,261",,,6,"207,543",3,"29,598",1,"93,111",,,,,,,1,"23,350",2,383,1,"17,200",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,8,"1,141,496",44,"1,776,739",0,0,0,0,1,"4,051",5,"363,880",,,25,"995,955",,,,,,,,,1,"677,032",12,"279,179",6,"460,413",2,"137,725",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,7,"674,586",6,"430,130",0,0,0,0,2,"142,105",1,"9,944",,,4,"393,460",,,,,,,,,,,,,5,"532,481",1,"26,727",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"432,023",5,"50,360",0,0,0,0,2,"432,023",,,,,3,"22,000",,,,,,,,,,,,,,,2,"28,360",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"93,025",6,"237,922",0,0,0,0,,,,,,,4,"146,382",2,"72,500",,,,,,,,,,,2,"20,525",2,"91,540",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"129,800",0,0,0,0,0,0,1,"129,800",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"85,299",4,"186,746",0,0,0,0,,,1,"27,231",,,1,"139,773",,,,,,,,,,,,,2,"85,299",2,"19,742",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"51,450",18,"156,971",0,0,0,0,,,1,"28,961",,,4,"91,150",,,,,,,,,,,,,3,"51,450",13,"36,860",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"180,120",1,"129,650",0,0,0,0,,,,,,,1,"129,650",1,"41,800",,,,,,,,,,,3,"138,320",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,8,"2,466,389",16,"3,502,884",0,0,0,0,2,"1,228,033",3,"27,751",,,8,"980,725",3,"156,520",1,"12,298",,,,,,,,,3,"1,081,836",4,"2,482,110",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"150,814",0,0,0,0,0,0,1,"150,814",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,9,8,"458,011",0,5,18,5,"4,203,945","123,851",,,,,87,"21,351,304",228,"62,329,385",0,0,0,0,14,"211,072",33,"14,480,701",1,"6,000",96,"17,344,195",11,"932,799",24,"26,606,282",,,2,"505,520",1,"10,155",13,"412,274",60,"20,191,280",60,"2,980,414",1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"7,205",1,"525,035",0,0,0,0,,,,,,,1,"525,035",1,807,,,,,,,,,,,1,"6,398",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"68,816",1,"130,000",0,0,0,0,,,,,,,,,,,,,,,,,,,1,"130,000",3,"68,816",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"23,389",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"23,389",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"7,243,581",1,"44,000",0,0,0,0,,,,,,,1,"44,000",1,"3,400",,,,,,,,,,,1,"7,240,181",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"21,150",6,"135,718",0,0,0,0,,,,,,,1,"55,000",,,,,,,,,,,,,1,"21,150",5,"80,718",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Универсалбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,9,"365,739",49,"5,154,138",0,0,0,0,4,"91,969",9,"2,891,097",,,11,"626,493",2,"45,930",17,"992,530",,,,,,,4,"99,546",3,"227,840",8,"544,473",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"122,030",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"122,030",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"60,304",4,"1,684,008",0,0,0,0,1,"15,826",2,"58,443",,,,,,,1,"149,565",,,,,,,1,"1,476,000",2,"44,478",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"6,741",0,0,0,0,0,0,,,,,,,,,1,"6,741",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,15,"1,087,713",25,"5,183,457",0,0,0,0,1,"42,265",2,"126,434",,,9,"427,120",2,"18,500",4,"598,207",1,"12,320",1,"962,559",,,3,"119,619",11,"1,014,628",6,"2,949,518",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,13,"486,774",12,"1,033,706",0,0,0,0,8,"353,520",2,"39,086",,,1,"25,000",,,,,,,,,,,,,5,"133,254",9,"969,620",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"118,302",1,"108,000",0,0,0,0,,,,,,,1,"108,000",,,,,,,,,1,"118,302",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"23,500",3,"201,469",0,0,0,0,1,"23,500",2,"147,469",,,,,,,1,"54,000",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"225,346",12,"690,513",0,0,0,0,,,2,"170,019",,,6,"425,775",,,2,"8,960",,,,,,,1,"77,759",2,"225,346",1,"8,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"221,550",22,"2,392,720",0,0,0,0,,,1,"113,426",,,14,"1,738,546",5,"219,000",,,,,,,,,2,"48,171",1,"2,550",5,"492,576",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"125,375",0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,"125,375",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,1,0,"13,000",,,,,4,"344,161",14,"1,021,935",0,0,0,0,2,"293,561",,,,,10,"657,162",,,,,,,1,"45,500",,,1,"221,735",2,"50,600",2,"97,537",200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,1,,0,0,0,0,0,0,,,,,3,"171,711",20,"1,446,331",0,0,0,0,,,6,"335,123",,,4,"142,040",1,"129,265",,,,,,,,,2,"877,165",2,"42,446",8,"92,003",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"15,400",3,"461,834",0,0,0,0,,,,,,,2,"458,824",,,,,,,,,,,,,1,"15,400",1,"3,010",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"77,704",8,"7,064,602",0,0,0,0,1,"56,700",,,,,5,"7,007,603",,,1,"8,219",,,,,,,1,"34,980",2,"21,004",1,"13,800",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,18,"2,226,615",18,"4,836,334",0,0,0,0,1,"440,678",,,1,"4,500",4,"485,280",2,"125,141",1,"1,370",,,2,"143,000",,,4,"4,169,234",14,"1,656,296",7,"37,450",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"4,750",0,0,0,0,0,0,,,,,,,,,1,"4,750",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"1,719,532",1,"34,820",0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,"1,719,532",1,"34,820",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"933,967",2,"28,275",0,0,0,0,3,"898,653",,,,,,,,,,,,,1,"24,000",,,,,2,"35,314",1,"4,275",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"7,100",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,"7,100",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,200",3,"202,741",0,0,0,0,,,,,,,1,"18,004",1,"2,200",,,,,,,,,2,"184,737",,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,1,,"62,260",,0,1,0,"24,986",0,,,,,2,"9,318",33,"1,654,538",0,0,0,0,1,818,,,,,25,"1,020,213",,,3,"335,100",,,1,"25,019",,,,,1,"8,500",4,"274,205",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,1,,"4,377",,0,0,0,0,0,,,,,8,"1,091,887",36,"4,142,462",0,0,0,0,,,2,"15,100",,,24,"919,783",4,"23,712",4,"1,170,823",,,1,"82,000",,,4,"1,652,040",4,"1,068,175",1,"302,717",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,1,,"48,325",,0,1,0,"65,460",0,,,,,3,"91,542",28,"935,465",0,0,0,0,1,"1,040",2,"71,207",,,17,"543,916",,,2,"34,500",,,1,"30,281",,,1,"39,000",2,"90,502",5,"216,560",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"12,894",14,"606,830",0,0,0,0,1,"12,894",9,"531,530",,,3,"50,300",,,,,,,,,,,1,"5,000",,,1,"20,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"185,646",95,"8,815,311",0,0,0,0,2,"142,546",,,,,74,"7,286,554",,,2,"1,083,354",,,,,,,,,1,"43,100",19,"445,403",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,9,"830,629",2,"10,809",0,0,0,0,,,,,,,2,"10,809",,,,,,,,,,,,,9,"830,629",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"477,064",0,0,0,0,0,0,,,,,1,"114,000",,,1,"153,000",,,,,,,,,,,2,"210,064",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,1,,0,0,0,0,0,0,,,,,9,"6,484,208",9,"263,965",0,0,0,0,1,"6,064,060",2,"53,910",1,"171,000",3,"149,905",2,"147,780",,,,,1,"45,000",,,,,5,"101,368",3,"15,149",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,1,0,"52,312",,,,,6,"12,361,659",35,"29,841,778",0,0,0,0,3,"10,227,947",1,"14,203",,,25,"11,376,645",,,,,,,1,"67,800",,,1,"34,524",3,"2,133,712",7,"18,348,606",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"84,912",1,"19,039",0,0,0,0,,,1,"19,039",,,,,,,,,,,,,,,,,6,"84,912",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"948,989",39,"5,060,470",0,0,0,0,,,1,"101,931",,,24,"1,784,133",,,5,"2,538,225",,,,,2,"777,175",1,"73,324",3,"171,814",8,"562,856",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"29,408",20,"773,002",0,0,0,0,,,,,,,15,"417,989",1,"17,808",,,,,,,,,,,1,"11,600",5,"355,013",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"3,970",2,"102,180",0,0,0,0,,,,,,,1,"82,300",4,"3,970",1,"19,880",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"9,520",2,"119,992",0,0,0,0,,,,,,,2,"119,992",,,,,,,,,,,,,3,"9,520",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"2,496,058",3,"114,024",0,0,0,0,2,"2,496,058",,,,,1,"23,100",,,,,,,,,,,1,"63,589",,,1,"27,335",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"171,230",18,"1,940,373",0,0,0,0,,,4,"264,391",,,12,"1,615,699",2,"10,054",,,,,1,"37,000",,,,,4,"161,176",1,"23,282",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Зираат банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"579,318",0,0,0,0,0,0,1,"20,958",,,,,,,,,,,,,,,1,"100,260",,,2,"458,100",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"135,335",7,"288,769",0,0,0,0,1,"135,335",5,"201,205",,,2,"87,564",,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,8,"1,004,879",6,"146,830",0,0,0,0,,,1,"10,843",,,4,"122,987",,,,,,,1,"13,000",1,"231,420",,,7,"773,459",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"734,240",10,"551,561",0,0,0,0,,,,,,,6,"161,895",,,,,,,,,,,,,1,"734,240",4,"389,666",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"42,000",5,"179,072",0,0,0,0,,,,,,,,,,,,,,,,,,,2,"97,240",1,"42,000",3,"81,832",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"558,805",2,"252,270",0,0,0,0,,,,,,,1,"90,000",,,1,"162,270",,,,,2,"558,805",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"22,250",5,"119,368",0,0,0,0,,,,,,,4,"114,789",,,,,,,,,,,,,4,"22,250",1,"4,579",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
