Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
;Agro bank;463;1;10 376;5 398 381;;;10 639;6 031 229;52%;;5 268;3 187 479;5 108;2 210 902;5 660;3 636 496;4 979;2 394 733;392;449 017;-129;183 831;378 387;Samarador;Bo'ka tumani, Buka shahri, Mustakillik k., 19;Garant bank;Qibray filiali;QIBRAY TUMANI;1; Qibray sh. Zebiniso ko'chasi 2 uy
;SQB;10792;1;4 644;3 889 163;;;6 130;4 793 591;41%;;2 442;2 038 195;2 202;1 850 968;3 386;2 454 475;2 744;2 339 116;944;416 280;542;488 149;305 320;O'rtacha; Bo'ka tumani, Buka shahri, Dustlik MFY, Markaziy k.;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Oqtosh sanatoriya
;Õalq banki;11801;2;1 460;1 443 218;;;1 190;878 542;8%;;556;591 304;904;851 914;667;614 777;523;263 765;111;23 473;-381;-588 149;58 715;Samaradorligi past;Bo'ka tumani, Yangi xayot MFY, Markaziy k., 4;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1;Bo'stonliq tumani, Tibbiyot birlashmasi
BO'STONLIQ TUMANI;;;9;64 440;36 880 557;3,84%;O'rtacha;71 418;42 001 486;4%;O'rtacha;32 280;18 103 837;32 160;18 776 720;35 800;21 859 180;35 618;20 142 306;10 253;7 954 457;9 501;4 081 117;2 252 191;O'rtacha;;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Chimyon qishlog'i
;BRB;12129;2;12 776;6 914 645;;;10 899;7 261 983;17%;;6 733;4 199 114;6 043;2 715 531;6 549;4 435 683;4 350;2 826 300;6 549;4 435 683;4 350;2 826 300;5 452;Barqaror;Bo'stonliq  tumani, Gazalkent sh, Markaziy MFY, A. Temur k.;Garant bank;Zangiota filiali;ZANGIOTA TUMANI;1; Zangiota tum. Mustakillik 4 uy
;Garant bank;12090;2;27 831;14 687 005;;;30 587;16 479 587;39%;;14 430;7 092 923;13 401;7 594 082;16 535;8 815 755;14 052;7 663 832;2 105;1 722 832;651;69 750;1 266 979;Samarador;Bo'stonliq tumani, Gazalkent shahri, Lutfiy k., 4;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1;Bo'stonliq tumani, Birlik ko'chasi
;MKB;11413;1;5 498;3 202 690;;;6 497;4 518 054;11%;;2 877;1 497 481;2 621;1 705 208;3 071;2 339 450;3 426;2 178 603;194;841 969;805;473 395;265 600;O'rtacha; Bo'stonliq tumani, Ma'rifat MFY., Bo'stonliq k., 5;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Chimyon qishlog'i
;Milliy bank;11183;2;11 006;8 484 793;;;13 797;8 266 547;20%;;4 412;3 354 493;6 594;5 130 300;5 573;3 651 612;8 224;4 614 935;1 161;297 120;1 630;-515 365;590 680;Barqaror; Bo'stonliq  tumani, Gazalkent sh,Markaziy MFY,Oltinsarin k,12;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Chimyon qishlog'i
;Davrbank ;;1;1 363;881 361;;;5 198;3 422 870;8%;;879;410 120;484;471 241;2 022;1 424 437;3 176;1 998 433;1 143;1 014 318;2 692;1 527 192;;O'rtacha;Bo'stonliq tumani, G'azalkent sh. Turkiston k. 193-uy;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Õumson
;Õalq banki;11385;1;5 966;2 710 064;;;4 440;2 052 445;5%;;2 949;1 549 706;3 017;1 160 358;2 050;1 192 242;2 390;860 202;-899;-357 464;-627;-300 156;123 480;Samaradorligi past;Bo'stonliq tumani, Gazalkent shahri, Oltinsarin k., 7;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, soyliq qishlog'i
